"Concentration","DistanceToAirport","Precipitation","DistanceToMilitaryBase","DistanceToLandfill","DistanceToFedCWP","DistanceToAg","DistanceToChem","DistanceToRubber","DistanceToTextile","DistanceToApparel","DistanceToFnB","DistanceToFurniture","DistanceToLeather","DistanceToMachinery","DistanceToMiscellaneous","DistanceToPaper","DistanceToWood","SOCTonsPerHA","MedPFAS","PopDen","STUSPS","Median.Earnings.Inflation.Adj.2020","Bachelor.Degree.Percent.2020","Bachelor.5Year.Change","Bachelor.10Year.Change","Earnings.5Year.Change","Earnings.10Year.Change","Longitude","Latitude"
5300,9.37188327555364,529.83,8.71944612600047,8.70876108634912,11.4242670405433,9.89622344749675,4.52342536415457,6.67049495349875,9.35035921602483,10.5541403099409,6.85217924193872,4.92081050159088,9.50455614067431,6.43945333988797,6.33713232264628,6.67028063872221,7.15912566518836,46,"High",173,"CA",63915,28.1,0.900000000000002,-12.3,8216,7643,-122.135828,38.0750943
4945,9.85648404206796,1006.89,6.3772101355365,9.85691111275902,10.5967685204551,10.397470492475,8.75585158357162,10.0289563061219,9.2219493324673,10.2112069930067,8.64334659096776,10.4874802688087,10.6533893520379,4.93979127862665,9.02035407047548,9.2219493324673,10.4519962466965,15,"High",151,"KS",54375,28.2,1.3,-38.4,0,844,-94.92068,39.35923
4940,6.9736774026343,298.15,9.91388988553983,8.97972776320225,10.4283439630471,8.93744066246309,6.88128170393161,7.76886399854423,7.64406070392062,8.64780151301326,6.88128170393161,7.78849997606081,9.63743666629094,6.62825309804434,6.27504070952318,6.94774225592691,7.50225661651805,52,"High",199,"CA",32173,12.3,3.4,0.300000000000001,6206,6429,-117.861315391,33.683521772
4899.2,6.19149307468215,271.91,7.01515523102001,9.32352237501175,8.96545831321885,9.75875248790705,6.52951803776849,8.80666410710724,9.69938413236213,9.66618114063404,8.64104925195066,8.24898403960766,8.58046203025492,7.28248643092277,8.58046203025492,6.49997376553258,9.28403688105856,19,"High",227,"CA",60599,32.7,-1.3,-15.6,9386,12328,-117.1864753,32.73683481
4561,6.42707401228317,487.52,10.8623725770333,10.1902073533337,12.3499486052834,7.42403461699177,7.77493463601441,6.28080122854514,11.1387215999938,10.9965437073689,7.42403461699177,8.29149806814148,11.9422548148958,6.28080122854514,6.28080122854514,7.24651483908733,10.8584111584021,33,"High",182,"CA",43938,25.9,3.1,-19.6,3210,6995,-119.8391657,34.4317133
4250,6.32328417619214,312.27,9.04769487475099,8.95693919357281,11.0608907249463,8.49037288465739,7.34442519933547,6.94514387537699,8.74370506148755,7.18001754452545,8.80518040289381,7.97433624250115,9.45790774898522,7.09493788067651,7.09680237177711,6.84669684413962,8.58309597145352,11,"High",225,"CA",50736,24.2,0.899999999999999,-15.1,3644,3115,-118.1580129,33.8180401
3995,9.77121107558685,508.12,8.8653999489301,9.51213535295747,11.5196572714435,9.88463231175916,6.68244165887059,9.2938031265398,9.81890794426681,10.3208580830249,7.85094455960657,9.11302787021519,8.99831814770845,9.05207378675379,8.27014797720886,9.29227248688235,9.11302787021519,69,"High",186,"CA",59456,26.3,9.2,-7.1,0,2400,-122.2442013,38.0446953
3970,7.04294006427595,503.6,10.266257299812,7.79918456335013,11.7586343096542,7.932326225874,7.44683893625806,7.93099550594358,8.52683385804773,9.62658317469046,7.926922840361,7.9922703493711,10.353686480998,7.87776636260265,7.96891405683534,7.99814220401966,7.9922703493711,88,"High",199,"CA",30836,8.6,3.1,1.6,0,8278,-122.222167,37.711056
3921.96,5.11423881335871,441.15,8.95651477684111,8.6497388596199,11.4544088750141,9.96429281118938,6.37973505301952,9.35631276264045,7.69954213855605,10.5087872146909,9.27602113890447,8.44893726698293,10.0776794267135,7.01539150012883,6.90050937604939,8.02534884306169,9.14830267893635,38,"High",215,"CA",39087,19.9,5.3,1.7,11265,11377,-122.0588021,37.9892369
3900,10.1447690734456,850.72,9.80461273770125,9.36586025428191,10.068557054987,9.05335912150832,7.40066431253914,7.40066431253914,9.72434748104816,9.43219250327213,8.95922900188065,9.35694257250494,9.9560885696461,9.21640575413802,7.67562740620722,9.10451395761658,7.42274171968743,43,"High",152,"MN",56672,26.3,3.9,-5.5,11010,10643,-92.915703,44.809898
